Year,Average Temperature
1951,8.6
1952,8.6
1953,8.5
1954,8.0
1955,8.0
1956,7.1
1957,8.5
1958,8.6
1959,9.2
1960,8.6
1961,9.5
1962,7.6
1963,7.4
1964,8.5
1965,7.5
1966,8.7
1967,8.7
1968,8.2
1969,8.0
1970,7.9
1971,8.3
1972,7.9
1973,8.0
1974,8.9
1975,8.6
1976,8.6
1977,8.9
1978,7.9
1979,8.5
1980,7.9
1981,8.6
1982,9.2
1983,9.3
1984,8.3
1985,8.2
1986,8.4
1987,8.3
1988,9.4
1989,9.4
1990,9.7
1991,8.9
1992,9.5
1993,9.1
1994,10.5
1995,9.2
1996,8.1
1997,9.4
1998,9.5
1999,9.4
2000,10.2
2001,9.4
2002,10.2
2003,10.1
2004,9.5
2005,9.2
2006,9.8
2007,10.1
2008,9.6
2009,9.9
2010,8.8
2011,10.5
2012,9.7
2013,9.1
2014,10.6
2015,10.6
2016,9.9
2017,10.2
2018,11.1
2019,10.5
2020,10.9
2021,9.6
2022,11.5
2023,11.4
